,Author,Title,State,District,Description,DateBan
0,"Maas, Sarah J.",Empire of Storms,Florida,School District of Manatee County,"Still in Process, Manatee Reporting website, https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf",2023-01-01
1,"Maas, Sarah J.",A Court of Frost and Starlight,Florida,School District of Manatee County,"A Court of Thorns and Roses, Still in Process, Manatee Reporting website, https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf",2023-01-01
2,"Hopkins, Ellen",Burned (EH),Florida,School District of Manatee County,"Still in Process, Manatee Reporting website, https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf",2023-01-01
3,"Ginsberg, Allen",Allen Ginsburg Collected Poems 1947-1980,Florida,School District of Manatee County,"Still in Process, Manatee Reporting website, https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf",2023-01-01
4,"Cast, P. C.",Chosen,Florida,School District of Manatee County,"House of Night, Still in Process, Manatee Reporting website, https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf",2023-01-01
5,"Sebold, Alice",The Almost Moon,Florida,School District of Manatee County,"Still in Process, Manatee Reporting website, https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf",2023-01-01
6,"Frank, E. R.",Life is Funny,Florida,School District of Manatee County,"Banned/Removed, Manatee Reporting website, https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf",2023-01-01
7,"Aciman, André",Call Me By Your Name,Florida,School District of Manatee County,"Call Me By Your Name, Banned/Removed, Manatee Reporting website, https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf",2023-01-01
8,"Green, Katie",Lighter than My Shadow,Florida,School District of Manatee County,"Banned/Removed, Manatee Reporting website, https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf",2023-01-01
9,"Lyga, Barry",Boy Toy,Florida,School District of Manatee County,"Banned/Removed, Manatee Reporting website, https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf",2023-01-01
10,"Foley, Jessie Ann",The Carnival at Bray,Florida,School District of Manatee County,"Banned/Removed, Manatee Reporting website, https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf",2023-01-01
11,"Lo, Malinda",Last Night at the Telegraph Club,Florida,School District of Manatee County,"Banned/Removed, Manatee Reporting website, https://www.manateeschools.net/cms/lib/FL02202357/Centricity/Domain/1130/Library%20Media%20Book%20List%2023-24%20Ongoing.pdf",2023-01-01
12,"Kaur, Rupi",Milk and Honey,Florida,Alachua County Public Schools,"No Action, UPDATE: Challenger did not meet requirements for challenge. challenged for sexual content, https://docs.google.com/spreadsheets/d/18xWzxGfhEM_t6ImqOEfK50H9TaIYfFZx-qMZxB1_s4I/htmlview, https://www.wuft.org/2024-04-18/frustrations-among-staff-grow-as-more-books-are-removed-off-alachua-county-school-library-shelves",2023-12-01
13,"Sebold, Alice",The Almost Moon,Florida,Alachua County Public Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/18xWzxGfhEM_t6ImqOEfK50H9TaIYfFZx-qMZxB1_s4I/htmlview, https://www.wuft.org/2024-04-18/frustrations-among-staff-grow-as-more-books-are-removed-off-alachua-county-school-library-shelves",2023-12-01
14,"Lukoff, Kyle",When Aidan Became a Brother,Florida,Alachua County Public Schools,"Still in Process, All levels so far - recommended retain - challenged to board, https://docs.google.com/spreadsheets/d/18xWzxGfhEM_t6ImqOEfK50H9TaIYfFZx-qMZxB1_s4I/htmlview, https://www.wuft.org/2024-04-18/frustrations-among-staff-grow-as-more-books-are-removed-off-alachua-county-school-library-shelves",2023-12-01
15,"Gino, Alex","You Don’t Know Everything, Jilly P!",Florida,Alachua County Public Schools,"Still in Process, 1/2024: District Review - RETAIN. Challenged to board., https://docs.google.com/spreadsheets/d/18xWzxGfhEM_t6ImqOEfK50H9TaIYfFZx-qMZxB1_s4I/htmlview, https://www.wuft.org/2024-04-18/frustrations-among-staff-grow-as-more-books-are-removed-off-alachua-county-school-library-shelves",2023-12-01
16,"Silverman, Erica",Jack (Not Jackie),Florida,Alachua County Public Schools,"Retained, District - REMAIN., https://docs.google.com/spreadsheets/d/18xWzxGfhEM_t6ImqOEfK50H9TaIYfFZx-qMZxB1_s4I/htmlview, https://www.wuft.org/2024-04-18/frustrations-among-staff-grow-as-more-books-are-removed-off-alachua-county-school-library-shelves",2024-1-01
