,Author,Title,State,District,DateBan,Country,Description
0,"Àbíké-Íyímídé, Faridah",Ace of Spades,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries and Classrooms
1,"Acevedo, Elizabeth",Clap When You Land,Pennsylvania,Central York School District,2021-08-31,USA,Banned in Classrooms
2,"Acevedo, Elizabeth",The Poet X,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries
3,"Acevedo, Elizabeth",The Poet X,New York,Marlboro Central School District,2022-02-01,USA,Banned in Libraries and Classrooms
4,"Acevedo, Elizabeth",The Poet X,Texas,Fredericksburg Independent School District,2022-03-01,USA,Banned Pending Investigation
5,"Acevedo, Elizabeth",The Poet X,Virginia,New Kent County Public Schools,2021-10-01,USA,Banned in Libraries
6,"Aciman, André",Call Me By Your Name (Call Me By Your Name Series),Virginia,Spotsylvania County Public Schools,2021-11-01,USA,Banned Pending Investigation
7,"Acito, Marc","How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
8,"Ada, Alma Flor",My Name Is María Isabel,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
9,"Addasi, Maha",Time to Pray,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
10,"Adeyemi, Tomi",Children of Blood and Bone (Legacy of Orïsha Series),Texas,Katy Independent School District,2022-01-01,USA,Banned Pending Investigation
11,"Adeyoha, Koja","47,000 Beads",Pennsylvania,Central York School District,2021-08-31,USA,Banned in Classrooms
12,"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Michigan,Hudsonville Public Schools,2022-01-01,USA,Banned in Classrooms
13,"Adler, Dahlia",Cool for the Summer,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
14,"Agell, Charlotte",The Accidental Adventures of India McAllister,Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
15,"Ahmadi, Arvin",How It All Blew Up,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
16,"Ahmadi, Arvin",How It All Blew Up,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
17,"Ahmed, Roda",Mae Among the Stars,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
18,"Ahmed, Samira","Love, Hate & Other Filters",Mississippi,Madison County Schools,2022-04-01,USA,Banned in Libraries
19,"Ahmed, Samira","Love, Hate & Other Filters",Wisconsin,School District of Waukesha,2021-12-01,USA,Banned in Libraries
20,"Ahmed, Sara K.",Being the Change: Lessons and Strategies to Teach Social Comprehension,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
21,"Ahmed, Sara K.",Being the Change: Lessons and Strategies to Teach Social Comprehension,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
22,"Albertalli, Becky",Here's to Us,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
23,"Albertalli, Becky",Kate in Waiting,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
24,"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),Idaho,Nampa School District,2022-05-01,USA,Banned in Libraries and Classrooms
25,"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
26,"Albertalli, Becky","Love, Creekwood: A Simonverse Novella (Simonverse Series)",Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
27,"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
28,"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
29,"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
30,"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
31,"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
32,"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
33,"Albertalli, Becky",What If It's Us (What If It's Us Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
34,"Albertalli, Becky",What If It's Us (What If It's Us Series),Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
35,"Albertalli, Becky",What If It's Us (What If It's Us Series),Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
36,"Aleman, Daniel",Indivisible,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
37,"Alexander, Kwame",The Undefeated,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
38,"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
39,"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Texas,Klein Independent School District,2021-12-01,USA,Banned Pending Investigation
40,"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
41,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries
42,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Jackson County School District,2022-04-01,USA,Banned in Libraries and Classrooms
43,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Lee County Schools,2022-03-01,USA,Banned in Libraries and Classrooms
44,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Santa Rosa County District Schools,2022-04-01,USA,Banned Pending Investigation
45,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,St. Lucie Public Schools,2022-01-01,USA,Banned in Libraries
46,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Walton County School District,2022-04-01,USA,Banned Pending Investigation
47,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Georgia,Forsyth County Schools,2022-01-01,USA,Banned in Libraries
48,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Idaho,Nampa School District,2022-05-01,USA,Banned in Libraries and Classrooms
49,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Iowa,Ankeny Community School District,2021-11-01,USA,Banned in Libraries
50,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Iowa,Ottumwa Community School District,2022-04-01,USA,Banned Pending Investigation
51,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Kansas,Derby Public Schools,2021-11-01,USA,Banned in Libraries and Classrooms
52,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Kansas,Goddard Public Schools,2021-11-01,USA,Banned Pending Investigation
53,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Michigan,Gladwin Community Schools,2022-05-01,USA,Banned Pending Investigation
54,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Mississippi,Madison County Schools,2022-04-01,USA,Banned in Libraries
55,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Oklahoma,Bristow Public Schools,2021-10-01,USA,Banned Pending Investigation
56,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Texas,Fredericksburg Independent School District,2022-03-01,USA,Banned Pending Investigation
57,"Alexie, Sherman",Thunder Boy Jr.,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
58,"Alger, Cristina",Girls Like Us (2019),Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries
59,"Alko, Selina",The Case for Loving: The Fight for Interracial Marriage,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
60,"Allende, Isabel",The House of the Spirits,Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
61,"Alley, Kristy Dallas",The Ballad of Ami Miles,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
62,"Allison, Anthony",Hear These Voices: Youth at the Edge of the Millennium,Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
63,"Allman, John Robert",A is for Audra: Broadway's Leading Ladies from A to Z,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
64,"Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?",Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
65,"Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?",Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
66,Amnesty International,We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
67,"Anaya, Rudolfo","Bless Me, Ultima",Oklahoma,Bristow Public Schools,2021-10-01,USA,Banned Pending Investigation
68,"Ancrum, K.",The Weight of the Stars,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
69,"Anders, Charlie Jane",Victories Greater Than Death (Unstoppable Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
70,"Anderson, Airlie",Neither,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
71,"Anderson, Carol",White Rage: The Unspoken Truth of Our Racial Divide,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
